ID,Set,District,Block,CultLand,CropTillageDate,CropTillageMonth,CropTillageDepth,CropEstMethod,RcNursEstDate,NursingMonth,SeedingSowingTransplanting,SowTransplantMonth,SeedlingsPerPit,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,TransIrriCost_per_Acre,StandingWater,Ganaura,Ganaura_capped,Ganaura_per_Acre,CropOrgFYM,CropOrgFYM_per_Acre,PCropSolidOrgFertAppMethod,NoFertilizerAppln,BasalDAP,BasalDAP_per_Acre,BasalUrea,BasalUrea_per_Acre,MineralFertAppMethod,1tdUrea,1tdUrea_per_Acre,1appDaysUrea,2tdUrea,2tdUrea_per_Acre,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,HarvestMonth,Harv_hand_rent,Harv_hand_rent_per_Acre,Threshing_date,ThreshingMonth,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield,Yield_per_Acre,LandPrepMethod_TractorPlough,LandPrepMethod_FourWheelTracRotavator,LandPrepMethod_WetTillagePuddling,LandPrepMethod_BullockPlough,LandPrepMethod_Other,NursDetFactor_CalendarDate,NursDetFactor_PreMonsoonShowers,NursDetFactor_IrrigWaterAvailability,NursDetFactor_LabourAvailability,NursDetFactor_SeedAvailability,TransDetFactor_LabourAvailability,TransDetFactor_CalendarDate,TransDetFactor_RainArrival,TransDetFactor_IrrigWaterAvailability,TransDetFactor_SeedlingAge,CropbasalFerts_Urea,CropbasalFerts_DAP,CropbasalFerts_Other,CropbasalFerts_NPK,CropbasalFerts_MoP,CropbasalFerts_NPKS,CropbasalFerts_SSP,CropbasalFerts_None,FirstTopDressFert_Urea,FirstTopDressFert_DAP,FirstTopDressFert_NPK,FirstTopDressFert_NPKS,FirstTopDressFert_SSP,FirstTopDressFert_Other,OrgFertilizers_Ganaura,OrgFertilizers_FYM,OrgFertilizers_VermiCompost,OrgFertilizers_Pranamrit,OrgFertilizers_Ghanajeevamrit,OrgFertilizers_Jeevamrit,OrgFertilizers_PoultryManure,Days_bw_Nurs_SowTransp,Days_bw_SowTransp_Harv,Days_bw_Harv_Thresh,Days_bw_Nurs_Harv,Nb_of_NaN,Past_YpA_Avg,Days_Harv_Thresh,Season,harvest-thresh-duration,tillage-harvest-duration,irrigation-per-acre
ID_OEGIGBAY4B8L,test,Gaya,Wazirganj,30,2022-06-28,June,4,Manual_PuddledRandom,2022-06-20,June,2022-07-23,July,3.0,6.0,Boring,Diesel,100.0,270.00000000000006,2.0,0.0,0.0,0.0,4.0,10.800000000000002,SoilApplied,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-08,October,100.0,270.00000000000006,2022-10-22,October,machine,25,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,33.0,77.0,14.0,110.0,1,0.0,14,Monsoon,116,102,16.200000000000003
ID_ECOLA7UOIRKC,test,Gaya,Wazirganj,50,2022-07-01,July,5,Manual_PuddledRandom,2022-06-25,June,2022-07-28,July,4.0,5.0,Canal,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2,12.0,27.0,12.0,27.0,Broadcasting,18.0,40.5,45.0,0.0,0.0,,Broadcasting,hand,2022-10-10,October,100.0,225.0,2022-10-27,October,machine,25,10,plowed_in_soil,0.4444444444444444,960,2160.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,33.0,74.0,17.0,107.0,4,0.0,17,Monsoon,118,101,11.25
ID_T882H8WXTQWU,test,Gaya,Wazirganj,40,2022-06-28,June,5,Manual_PuddledRandom,2022-06-28,June,2022-07-26,July,2.0,8.0,Boring,Electric,80.0,270.0,2.0,0.0,0.0,0.0,3.0,10.125,SoilApplied,2,8.0,27.0,8.0,27.0,Broadcasting,12.0,40.5,45.0,0.0,0.0,,Broadcasting,hand,2022-10-10,October,100.0,337.5,2022-10-28,October,hand,25,10,plowed_in_soil,0.2962962962962963,640,2160.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,28.0,76.0,18.0,104.0,1,0.0,18,Monsoon,122,104,27.0
ID_5Q6AC5G0B74I,test,Gaya,Wazirganj,40,2022-06-28,June,5,Manual_PuddledRandom,2022-06-26,June,2022-07-28,July,2.0,5.0,Boring,Electric,50.0,270.0,2.0,0.0,0.0,0.0,0.0,0.0,,2,5.0,27.0,5.0,27.0,Broadcasting,10.0,53.99999999999999,45.0,0.0,0.0,,Broadcasting,hand,2022-10-12,October,100.0,540.0,2022-10-30,October,hand,25,10,plowed_in_soil,0.1851851851851852,400,2160.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,32.0,76.0,18.0,108.0,2,0.0,18,Monsoon,124,106,26.999999999999996
ID_RIJLIV1YFCB9,test,Gaya,Wazirganj,40,2022-07-07,July,5,Manual_PuddledRandom,2022-06-27,June,2022-07-26,July,2.0,4.0,Rainfed,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-12,October,100.0,270.00000000000006,2022-10-30,October,hand,25,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,29.0,78.0,18.0,107.0,5,0.0,18,Monsoon,115,97,10.800000000000002
ID_2DKED1TCJZQV,test,Gaya,Wazirganj,40,2022-06-29,June,5,Manual_PuddledRandom,2022-06-28,June,2022-07-27,July,2.0,6.0,Boring,Electric,60.0,162.00000000000003,2.0,0.0,0.0,0.0,0.0,0.0,,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-12,October,100.0,270.00000000000006,2022-10-22,October,hand,30,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,29.0,77.0,10.0,106.0,2,0.0,10,Monsoon,115,105,16.200000000000003
ID_EHIORS3B5TSL,test,Gaya,Wazirganj,40,2022-06-30,June,5,Manual_PuddledRandom,2022-06-28,June,2022-07-26,July,2.0,6.0,Canal,,0.0,0.0,2.0,5.0,5.0,27.0,0.0,0.0,Broadcasting,2,10.0,53.99999999999999,10.0,53.99999999999999,Broadcasting,15.0,80.99999999999999,45.0,0.0,0.0,,Broadcasting,hand,2022-10-13,October,100.0,540.0,2022-10-26,October,machine,25,10,plowed_in_soil,0.1851851851851852,400,2160.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,28.0,79.0,13.0,107.0,3,0.0,13,Monsoon,118,105,32.4
ID_0UZIBUBOR4ZU,test,Gaya,Wazirganj,60,2022-06-28,June,5,Manual_PuddledRandom,2022-06-20,June,2022-07-27,July,2.0,6.0,Canal,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-13,October,100.0,270.00000000000006,2022-10-28,October,machine,30,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,37.0,78.0,15.0,115.0,4,0.0,15,Monsoon,122,107,16.200000000000003
ID_6WESF1JJA5CO,test,Gaya,Wazirganj,30,2022-06-29,June,5,Manual_PuddledRandom,2022-06-24,June,2022-07-26,July,2.0,5.0,Boring,Electric,50.0,192.8571428571429,2.0,0.0,0.0,0.0,3.0,11.571428571428577,SoilApplied,2,7.0,27.000000000000007,7.0,27.000000000000007,Broadcasting,10.0,38.57142857142858,45.0,0.0,0.0,,Broadcasting,hand,2022-10-13,October,80.0,308.57142857142867,2022-10-29,October,hand,30,10,plowed_in_soil,0.2592592592592592,560,2160.0000000000005,False,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,32.0,79.0,16.0,111.0,1,0.0,16,Monsoon,122,106,19.285714285714292
ID_YG9TZ5Z3MC2T,test,Gaya,Wazirganj,55,2022-06-28,June,5,Manual_PuddledRandom,2022-06-26,June,2022-07-23,July,2.0,6.0,Boring,Electric,60.0,162.00000000000003,3.0,4.0,4.0,10.800000000000002,0.0,0.0,SoilApplied,2,10.0,27.000000000000007,10.0,27.000000000000007,SoilApplied,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-14,October,100.0,270.00000000000006,2022-10-27,October,machine,30,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,27.0,83.0,13.0,110.0,1,0.0,13,Monsoon,121,108,16.200000000000003
ID_YY1U0YNZYI84,test,Gaya,Wazirganj,60,2022-07-04,July,5,Manual_PuddledRandom,2022-06-24,June,2022-07-28,July,2.0,4.0,Rainfed,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-15,October,100.0,270.00000000000006,2022-10-28,October,hand,25,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34.0,79.0,13.0,113.0,5,0.0,13,Monsoon,116,103,10.800000000000002
ID_4HDCS9PF1W55,test,Gaya,Wazirganj,50,2022-07-28,July,5,Manual_PuddledRandom,2022-07-01,July,2022-07-29,July,2.0,6.0,Boring,Electric,60.0,162.00000000000003,3.0,3.0,3.0,8.100000000000001,0.0,0.0,SoilApplied,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-15,October,100.0,270.00000000000006,2022-10-28,October,hand,25,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,28.0,78.0,13.0,106.0,1,0.0,13,Monsoon,92,79,16.200000000000003
ID_5N1C6GWQHCBV,test,Gaya,Wazirganj,40,2022-07-08,July,5,Manual_PuddledRandom,2022-06-28,June,2022-07-26,July,2.0,10.0,Rainfed,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,2,10.0,53.99999999999999,10.0,53.99999999999999,Broadcasting,15.0,80.99999999999999,45.0,0.0,0.0,,Broadcasting,hand,2022-10-15,October,100.0,540.0,2022-10-27,October,hand,25,10,plowed_in_soil,0.1851851851851852,400,2160.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,28.0,81.0,12.0,109.0,4,0.0,12,Monsoon,111,99,53.99999999999999
ID_W7PELX4LAOSO,test,Gaya,Wazirganj,60,2022-07-25,July,5,Manual_PuddledRandom,2022-06-28,June,2022-07-26,July,2.0,8.0,Rainfed,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,2,10.0,27.000000000000007,10.0,27.000000000000007,Broadcasting,15.0,40.50000000000001,45.0,0.0,0.0,,Broadcasting,hand,2022-10-15,October,100.0,270.00000000000006,2022-10-30,October,hand,30,10,plowed_in_soil,0.3703703703703703,800,2160.0000000000005,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,28.0,81.0,15.0,109.0,4,2160.0000000000005,15,Monsoon,97,82,21.600000000000005
ID_JT0KQ34Q564G,test,Gaya,Wazirganj,40,2022-06-30,June,5,Manual_PuddledLine,2022-06-25,June,2022-07-20,July,2.0,2.0,Boring,Electric,50.0,168.75,3.0,4.0,4.0,13.5,0.0,0.0,SoilApplied,2,8.0,27.0,8.0,27.0,Broadcasting,12.0,40.5,40.0,0.0,0.0,,Broadcasting,hand,2022-10-15,October,100.0,337.5,2022-10-27,October,machine,30,10,plowed_in_soil,0.2962962962962963,640,2160.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,25.0,87.0,12.0,112.0,1,2160.0000000000005,12,Monsoon,119,107,6.75
